id,frame_idx,timestamp_sec,class_name,confidence,color_name,color_h,color_s,color_v,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_width,crop_height,crop_path,drone_lat,drone_lng,drone_alt,gimbal_pitch,gimbal_yaw,gimbal_roll
457,1285,42.88,truck,0.482,cyan,185.8,0.277,0.550,3,558,1163,2138,1160,1580,01989_truck_cyan.jpg,0.0,0.0,0.0,0.0,0.0,0.0
466,925,30.86,bus,0.822,cyan,191.5,0.314,0.546,3078,1763,3622,2121,544,358,01443_bus_cyan.jpg,0.0,0.0,0.0,0.0,0.0,0.0
255,965,32.20,car,0.616,blue,216.8,0.312,0.503,3210,1833,3723,2160,513,327,01515_car_blue.jpg,0.0,0.0,0.0,0.0,0.0,0.0
462,800,26.69,bus,0.657,cyan,185.2,0.179,0.675,3506,1143,3838,1570,332,427,01167_bus_cyan.jpg,0.0,0.0,0.0,0.0,0.0,0.0
450,945,31.53,truck,0.513,blue,225.6,0.333,0.476,3101,1697,3581,2020,480,323,01479_truck_blue.jpg,0.0,0.0,0.0,0.0,0.0,0.0
467,925,30.86,bus,0.581,blue,232.4,0.327,0.472,3002,1578,3450,1877,448,299,01445_bus_blue.jpg,0.0,0.0,0.0,0.0,0.0,0.0
250,950,31.70,car,0.604,blue,225.6,0.282,0.651,3270,1970,3837,2158,567,188,01488_car_blue.jpg,0.0,0.0,0.0,0.0,0.0,0.0
46,225,7.51,car,0.642,unknown,213.6,0.400,0.165,1959,1824,2167,2016,208,192,00182_car_unknown.jpg,0.0,0.0,0.0,0.0,0.0,0.0
234,905,30.20,car,0.808,blue,213.4,0.450,0.638,1711,1913,1869,2105,158,192,01395_car_blue.jpg,0.0,0.0,0.0,0.0,0.0,0.0
101,370,12.35,car,0.685,blue,206.5,0.315,0.461,2171,1843,2312,2072,141,229,00536_car_blue.jpg,0.0,0.0,0.0,0.0,0.0,0.0
51,235,7.84,car,0.487,unknown,217.4,0.421,0.166,1907,1973,2146,2158,239,185,00202_car_unknown.jpg,0.0,0.0,0.0,0.0,0.0,0.0
196,745,24.86,car,0.850,blue,206.7,0.489,0.474,136,1781,336,1907,200,126,01070_car_blue.jpg,0.0,0.0,0.0,0.0,0.0,0.0
78,325,10.84,car,0.772,blue,200.5,0.362,0.452,1524,1813,1667,1997,143,184,00409_car_blue.jpg,0.0,0.0,0.0,0.0,0.0,0.0
416,1625,54.22,person,0.423,white,86.0,0.092,0.652,210,1962,302,2160,92,198,02002_person_white.jpg,0.0,0.0,0.0,0.0,0.0,0.0
415,1140,38.04,person,0.376,black,214.1,0.693,0.096,3529,1509,3617,1691,88,182,01850_person_black.jpg,0.0,0.0,0.0,0.0,0.0,0.0
